seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,168,0.724936,0.8443843126296997,0.9095911979675293,0.8188976645469666,0.8715083599090576,0.9383572340011597,0.29763954898368317,0.06772048026323318,0.095185287296772,0.3430056869983673,,results/flip_only/obs15_8_area_edl_mse/logs/seed_42.log
101,112,0.713911,0.7875000238418579,0.8797169923782349,0.7831491827964783,0.7918994426727295,0.9272161722183228,0.3068477531224656,0.060691289603710175,0.09959350526332855,0.35905903577804565,,results/flip_only/obs15_8_area_edl_mse/logs/seed_101.log
202,29,0.710875,0.8174387216567993,0.8946540951728821,0.7978723645210266,0.8379888534545898,0.9274468421936035,0.357091649748729,0.08175528794527054,0.11772731691598892,0.4092816412448883,,results/flip_only/obs15_8_area_edl_mse/logs/seed_202.log
303,24,0.72,0.8120516538619995,0.8970125913619995,0.8348082304000854,0.7905027866363525,0.9307700395584106,0.30284702504342814,0.08697815239429474,0.09923630207777023,0.395386666059494,,results/flip_only/obs15_8_area_edl_mse/logs/seed_303.log
404,150,0.72043,0.840940535068512,0.9095911979675293,0.8328767418861389,0.8491619825363159,0.9429987072944641,0.274822075666067,0.10262152552604675,0.08991821110248566,0.3907701075077057,,results/flip_only/obs15_8_area_edl_mse/logs/seed_404.log
505,325,0.743455,0.8381854891777039,0.9060534834861755,0.8134034276008606,0.8645251393318176,0.9457170963287354,0.27395588480723987,0.05615311861038208,0.08702851086854935,0.3127778470516205,,results/flip_only/obs15_8_area_edl_mse/logs/seed_505.log
606,224,0.734247,0.8161559700965881,0.8962264060974121,0.8138889074325562,0.8184357285499573,0.934075653553009,0.32671955325471475,0.064789779484272,0.10601785033941269,0.35788244009017944,,results/flip_only/obs15_8_area_edl_mse/logs/seed_606.log
707,122,0.717087,0.8320228457450867,0.9076257944107056,0.852122962474823,0.8128491640090942,0.9267370700836182,0.2962051096957081,0.10598374158143997,0.09741904586553574,0.4137037396430969,,results/flip_only/obs15_8_area_edl_mse/logs/seed_707.log
808,137,0.725275,0.8239486813545227,0.9029088020324707,0.8413391709327698,0.8072625994682312,0.9317024946212769,0.3216990505269324,0.08840460330247879,0.106362484395504,0.39624300599098206,,results/flip_only/obs15_8_area_edl_mse/logs/seed_808.log
909,159,0.719388,0.8205804824829102,0.893081784248352,0.7774999737739563,0.8687151074409485,0.9355456233024597,0.2970811205579207,0.0772554948925972,0.09694470465183258,0.3702469766139984,,results/flip_only/obs15_8_area_edl_mse/logs/seed_909.log
1010,153,0.731959,0.8321870565414429,0.9040880799293518,0.8197832107543945,0.8449720740318298,0.9410229325294495,0.290937723568216,0.06931561976671219,0.09347009658813477,0.34395843744277954,,results/flip_only/obs15_8_area_edl_mse/logs/seed_1010.log
1111,221,0.722689,0.833450436592102,0.9068396091461182,0.8387553095817566,0.8282122611999512,0.9440541863441467,0.2793545994902986,0.06695260852575302,0.08972681313753128,0.3273492455482483,,results/flip_only/obs15_8_area_edl_mse/logs/seed_1111.log
1212,92,0.724409,0.8127543926239014,0.8915094137191772,0.7902374863624573,0.8365921974182129,0.9348099231719971,0.2818980481191456,0.07438962906599045,0.09111888706684113,0.3479694724082947,,results/flip_only/obs15_8_area_edl_mse/logs/seed_1212.log
1313,172,0.722063,0.8459869623184204,0.9162735939025879,0.8770614862442017,0.8170391321182251,0.9423817992210388,0.27488586140378635,0.08420304954051971,0.08937166631221771,0.36179450154304504,,results/flip_only/obs15_8_area_edl_mse/logs/seed_1313.log
1414,71,0.721649,0.823451042175293,0.8958333134651184,0.7872611284255981,0.8631284832954407,0.9318324327468872,0.30768863872817787,0.07438988238573074,0.10001417994499207,0.3739514946937561,,results/flip_only/obs15_8_area_edl_mse/logs/seed_1414.log
1515,217,0.730667,0.830110490322113,0.9033018946647644,0.8210382461547852,0.839385449886322,0.9382487535476685,0.2800117300276832,0.06625257432460785,0.0903613492846489,0.3406025171279907,,results/flip_only/obs15_8_area_edl_mse/logs/seed_1515.log
