seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,156,0.718919,0.8258503675460815,0.8993710875511169,0.8050397634506226,0.8477653861045837,0.9317461252212524,0.2829961013882772,0.09402497112751007,0.0929807797074318,0.3900628387928009,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_42.log
101,145,0.718391,0.80972820520401,0.8954402804374695,0.829912006855011,0.7905027866363525,0.9301232695579529,0.29360635118124845,0.07761526107788086,0.09598207473754883,0.3705733120441437,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_101.log
202,152,0.728291,0.8374384045600891,0.9091981053352356,0.8439716100692749,0.8310055732727051,0.9302623271942139,0.27810729345149154,0.09189259260892868,0.09027060121297836,0.3746805489063263,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_202.log
303,14,0.716332,0.80666184425354,0.8950471878051758,0.8375939726829529,0.7779329419136047,0.9076195359230042,0.30834648472017484,0.10803420841693878,0.10094930231571198,0.42134997248649597,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_303.log
404,127,0.72,0.823871910572052,0.9048742055892944,0.8601823449134827,0.7905027866363525,0.9340114593505859,0.2826147164360342,0.09800880402326584,0.09248948842287064,0.3794705867767334,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_404.log
505,125,0.711864,0.8289191126823425,0.9060534834861755,0.850220263004303,0.8086591958999634,0.9287598729133606,0.27538845066357026,0.09808330237865448,0.0894930437207222,0.39025452733039856,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_505.log
606,40,0.714697,0.7869091033935547,0.8848270177841187,0.8209407925605774,0.755586564540863,0.9107757806777954,0.36413791088742564,0.13762220740318298,0.12336689233779907,0.5126431584358215,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_606.log
707,150,0.733154,0.8269360065460205,0.8989779949188232,0.7984395027160645,0.8575419187545776,0.9315863847732544,0.2862734275324767,0.08300545811653137,0.09339974820613861,0.37258943915367126,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_707.log
808,131,0.727273,0.8226363062858582,0.8989779949188232,0.8130968809127808,0.832402229309082,0.9230430126190186,0.2847451067332177,0.07733450829982758,0.09104880690574646,0.3534139096736908,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_808.log
909,261,0.739018,0.8202396631240845,0.8938679099082947,0.783715009689331,0.8603351712226868,0.9345993995666504,0.2902216387017163,0.06812165677547455,0.09369966387748718,0.35040321946144104,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_909.log
1010,155,0.729282,0.837666928768158,0.9091981053352356,0.8429985642433167,0.832402229309082,0.9355349540710449,0.26193209653428273,0.08240899443626404,0.08419402688741684,0.35186415910720825,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_1010.log
1111,115,0.729345,0.8310567736625671,0.9076257944107056,0.8562963008880615,0.8072625994682312,0.9364215135574341,0.2760025768718888,0.07954709231853485,0.0895138680934906,0.3593995273113251,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_1111.log
1212,28,0.725714,0.8164739608764648,0.9001572132110596,0.8458083868026733,0.7891061305999756,0.9180554151535034,0.3181084143483532,0.07721254974603653,0.10293496400117874,0.3834398090839386,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_1212.log
1313,112,0.713092,0.8346344828605652,0.9084119200706482,0.8484848737716675,0.8212290406227112,0.94092857837677,0.29063969625397373,0.08296972513198853,0.09597287327051163,0.38626542687416077,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_1313.log
1414,107,0.736573,0.8316831588745117,0.8997641801834106,0.788485586643219,0.8798882961273193,0.9367038607597351,0.28522074524272867,0.07349398732185364,0.09202335774898529,0.35272136330604553,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_1414.log
1515,295,0.744318,0.8435277342796326,0.9135220050811768,0.8594202995300293,0.8282122611999512,0.9362866878509521,0.25956884197274827,0.08405118435621262,0.0833708867430687,0.3486211895942688,,results/flip_only/obs15_8_ratio_edl_mse/logs/seed_1515.log
