metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7253914375,0.009738856571957857,9.484532732916672e-05,0.711864,505,0.744318,1515,0.7254 ± 0.0097
test_f1,16,0.8240146227180958,0.01404648322963288,0.00019730369112035777,0.7869091033935547,606,0.8435277342796326,1515,0.8240 ± 0.0140
test_accuracy,16,0.9015821553766727,0.007380276836868583,5.446848618881894e-05,0.8848270177841187,606,0.9135220050811768,1515,0.9016 ± 0.0074
test_precision,16,0.8302878849208355,0.02548412145322273,0.0006494404462426069,0.783715009689331,909,0.8601823449134827,404,0.8303 ± 0.0255
test_recall,16,0.8193959444761276,0.03345633857719156,0.001119326590991676,0.755586564540863,606,0.8798882961273193,1414,0.8194 ± 0.0335
test_auroc,16,0.929153636097908,0.00955779124347349,9.13513734538185e-05,0.9076195359230042,303,0.94092857837677,1313,0.9292 ± 0.0096
test_loss,16,0.2898693658074755,0.0245885625993645,0.0006045974107028667,0.25956884197274827,1515,0.36413791088742564,606,0.2899 ± 0.0246
test_mean_uncertainty,16,0.3811095617711544,0.040200943335888605,0.0016161158450953264,0.3486211895942688,1515,0.5126431584358215,606,0.3811 ± 0.0402
test_ece,16,0.08833915647119284,0.016787465605812537,0.0002818190014663389,0.06812165677547455,909,0.13762220740318298,606,0.0883 ± 0.0168
test_brier,16,0.09448064863681793,0.009217861107230463,8.496896339219203e-05,0.0833708867430687,1515,0.12336689233779907,606,0.0945 ± 0.0092
test_aurc,16,0.04256514995358884,0.008109147826020015,6.575827846424514e-05,0.0348675400018692,1313,0.06409916281700134,606,0.0426 ± 0.0081
