metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7255171874999999,0.008903365994339819,7.926992602916667e-05,0.709141,505,0.743169,1515,0.7255 ± 0.0089
test_f1,16,0.8236009366810322,0.011803014070059906,0.00013931114113803212,0.7968970537185669,202,0.8378766179084778,1111,0.8236 ± 0.0118
test_accuracy,16,0.9017295613884926,0.007152206760193356,5.1154061540555534e-05,0.8867924809455872,202,0.9111635088920593,1111,0.9017 ± 0.0072
test_precision,16,0.8332004137337208,0.02336015486503743,0.000545696835318532,0.795039176940918,101,0.8826290965080261,909,0.8332 ± 0.0234
test_recall,16,0.8149441331624985,0.01987628478035978,0.0003950666966699619,0.7849162220954895,1010,0.8505586385726929,101,0.8149 ± 0.0199
test_auroc,16,0.9313400983810425,0.005501069546643298,3.02617661570063e-05,0.9201756119728088,202,0.9400399923324585,1111,0.9313 ± 0.0055
test_loss,16,0.28764048919057866,0.02303601419436178,0.0005306579499628375,0.2550801837206375,606,0.33446427884491614,101,0.2876 ± 0.0230
test_mean_uncertainty,16,0.3579179048538208,0.030461699374224254,0.0009279151287656144,0.30348408222198486,404,0.41492319107055664,101,0.3579 ± 0.0305
test_ece,16,0.07741158548742533,0.01379909047328919,0.00019041489789002052,0.05471501871943474,1212,0.10055968165397644,909,0.0774 ± 0.0138
test_brier,16,0.09289011498913169,0.00827986639774526,6.855618756451108e-05,0.08139139413833618,606,0.11030171066522598,101,0.0929 ± 0.0083
test_aurc,16,0.04286796064116061,0.006070239109656359,3.6847802848401626e-05,0.035921238362789154,1515,0.05516139045357704,101,0.0429 ± 0.0061
