metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.72394,0.008069533055470632,6.511736373333319e-05,0.710875,202,0.743455,505,0.7239 ± 0.0081
test_f1,16,0.8256968185305595,0.014870963731625327,0.0002211455623073159,0.7875000238418579,101,0.8459869623184204,1313,0.8257 ± 0.0149
test_accuracy,16,0.9008942656219006,0.008996766417922755,8.094180597866263e-05,0.8797169923782349,101,0.9162735939025879,1313,0.9009 ± 0.0090
test_precision,16,0.8187497183680534,0.027263909162544328,0.0007433207428234685,0.7774999737739563,909,0.8770614862442017,1313,0.8187 ± 0.0273
test_recall,16,0.8338861726224422,0.02605646841963485,0.0006789395465034283,0.7905027866363525,303,0.8715083599090576,42,0.8339 ± 0.0261
test_auroc,16,0.9358073100447655,0.006265673064992119,3.9258658957367726e-05,0.9267370700836182,707,0.9457170963287354,505,0.9358 ± 0.0063
test_loss,16,0.29810533579651227,0.022668512305912644,0.000513861450163313,0.27395588480723987,505,0.357091649748729,202,0.2981 ± 0.0227
test_mean_uncertainty,16,0.3652489259839058,0.029502424356955072,0.0008703930429378559,0.3127778470516205,505,0.4137037396430969,707,0.3652 ± 0.0295
test_ece,16,0.07674105232581496,0.014199851181166602,0.00020163577356727854,0.05615311861038208,505,0.10598374158143997,707,0.0767 ± 0.0142
test_brier,16,0.0968435131944716,0.00805929886991939,6.495229827468395e-05,0.08702851086854935,505,0.11772731691598892,202,0.0968 ± 0.0081
test_aurc,16,0.04241147800348699,0.00537697923652765,2.891190571004948e-05,0.035214416682720184,505,0.05454717203974724,202,0.0424 ± 0.0054
