seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,235,0.709677,0.8214971423149109,0.8966666460037231,0.800000011920929,0.844181478023529,0.9329540729522705,0.2952649328344267,0.06221829727292061,0.09490617364645004,0.3288809657096863,,results/flip_only/obs_30_7_edl_mse/logs/seed_42.log
101,97,0.707692,0.8347659707069397,0.9038888812065125,0.8092592358589172,0.8619329333305359,0.937617301940918,0.2931817556955327,0.07230986654758453,0.09492935240268707,0.34387290477752686,,results/flip_only/obs_30_7_edl_mse/logs/seed_101.log
202,141,0.693548,0.8294177651405334,0.9072222113609314,0.8601694703102112,0.800788938999176,0.927903413772583,0.3103033441765983,0.11878710985183716,0.10371558368206024,0.43067359924316406,,results/flip_only/obs_30_7_edl_mse/logs/seed_202.log
303,141,0.68254,0.8101522922515869,0.8961111307144165,0.8347280621528625,0.7869822382926941,0.9234704971313477,0.30611534486415787,0.08380012959241867,0.09999918937683105,0.3777236342430115,,results/flip_only/obs_30_7_edl_mse/logs/seed_303.log
404,12,0.7,0.7803837656974792,0.8855555653572083,0.8491879105567932,0.7218934893608093,0.925503134727478,0.287325814220662,0.08060534298419952,0.09392086416482925,0.38599035143852234,,results/flip_only/obs_30_7_edl_mse/logs/seed_404.log
505,110,0.722892,0.8121827244758606,0.8972222208976746,0.8368200659751892,0.7889546155929565,0.9336527585983276,0.2795519138484982,0.07185593247413635,0.09029683470726013,0.3377434015274048,,results/flip_only/obs_30_7_edl_mse/logs/seed_505.log
606,25,0.685259,0.797160267829895,0.8888888955116272,0.8204593062400818,0.7751479148864746,0.9253284335136414,0.34943064799309154,0.0789136216044426,0.1149664968252182,0.3989968001842499,,results/flip_only/obs_30_7_edl_mse/logs/seed_606.log
707,153,0.698529,0.8162511587142944,0.8894444704055786,0.7673611044883728,0.8717948794364929,0.9217314720153809,0.4167388131141523,0.11102674156427383,0.13969245553016663,0.4597667455673218,,results/flip_only/obs_30_7_edl_mse/logs/seed_707.log
808,94,0.730769,0.8238806128501892,0.9016666412353516,0.8313252925872803,0.8165680766105652,0.9305698871612549,0.30869883520370023,0.08114295452833176,0.101042240858078,0.3722558915615082,,results/flip_only/obs_30_7_edl_mse/logs/seed_808.log
909,97,0.726562,0.8256157636642456,0.9016666412353516,0.8248031735420227,0.8264299631118774,0.9347602128982544,0.28802978741630547,0.07561010122299194,0.09233290702104568,0.332661509513855,,results/flip_only/obs_30_7_edl_mse/logs/seed_909.log
1010,155,0.72028,0.820183515548706,0.8911111354827881,0.7667238712310791,0.88165682554245,0.9346328973770142,0.3260582141299684,0.07704321295022964,0.10592053830623627,0.36750704050064087,,results/flip_only/obs_30_7_edl_mse/logs/seed_1010.log
1111,73,0.724638,0.8249763250350952,0.8972222208976746,0.7927272915840149,0.8599605560302734,0.9284640550613403,0.3373856888432268,0.07860838621854782,0.11099684983491898,0.39496326446533203,,results/flip_only/obs_30_7_edl_mse/logs/seed_1111.log
1212,105,0.716981,0.8218905329704285,0.9005555510520935,0.8293172717094421,0.814595639705658,0.9353986382484436,0.307218516490899,0.10973779857158661,0.10295738279819489,0.42482736706733704,,results/flip_only/obs_30_7_edl_mse/logs/seed_1212.log
1313,110,0.724638,0.8246445655822754,0.8972222208976746,0.793795645236969,0.857988178730011,0.9342111349105835,0.3630534271997282,0.09499675035476685,0.12125004827976227,0.4181886911392212,,results/flip_only/obs_30_7_edl_mse/logs/seed_1313.log
1414,118,0.695971,0.8109641075134277,0.8888888955116272,0.7785844206809998,0.8461538553237915,0.9362064003944397,0.3390252761024172,0.08936861157417297,0.1113429069519043,0.37282469868659973,,results/flip_only/obs_30_7_edl_mse/logs/seed_1414.log
1515,104,0.700337,0.821561336517334,0.8933333158493042,0.7768014073371887,0.8717948794364929,0.9282854795455933,0.36679266994080184,0.08743816614151001,0.12025099992752075,0.3999960720539093,,results/flip_only/obs_30_7_edl_mse/logs/seed_1515.log
