seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,151,0.730496,0.8145454525947571,0.8866666555404663,0.7554805874824524,0.8836292028427124,0.9357517957687378,0.3253866744357938,0.08414868265390396,0.10708624869585037,0.40000125765800476,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_42.log
101,108,0.693141,0.8334956169128418,0.9049999713897705,0.8230769038200378,0.844181478023529,0.9424377083778381,0.2821748888129918,0.10450848191976547,0.09353891015052795,0.3992179334163666,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_101.log
202,27,0.704,0.8330059051513672,0.9055555462837219,0.8297455906867981,0.8362919092178345,0.9389657974243164,0.3328196502059691,0.09916848689317703,0.1108064204454422,0.42041337490081787,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_202.log
303,154,0.71223,0.8037037253379822,0.8822222352027893,0.7574170827865601,0.8560158014297485,0.9246793985366821,0.34103724170550936,0.09891978651285172,0.1142655462026596,0.43758317828178406,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_303.log
404,285,0.702899,0.8062317371368408,0.8894444704055786,0.7961538434028625,0.8165680766105652,0.9276044368743896,0.29750796178972216,0.060618527233600616,0.09625811129808426,0.3413771986961365,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_404.log
505,126,0.679842,0.8313725590705872,0.9044444561004639,0.8265107274055481,0.8362919092178345,0.9362177848815918,0.27179123608406713,0.06995268911123276,0.08673626184463501,0.32657134532928467,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_505.log
606,146,0.712418,0.8242753744125366,0.8922222256660461,0.7621440291404724,0.8974359035491943,0.9439639449119568,0.32584710482841,0.10125190764665604,0.10914013534784317,0.4113081991672516,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_606.log
707,163,0.710801,0.8222862482070923,0.8972222208976746,0.8014981150627136,0.844181478023529,0.9338006973266602,0.3045406331395599,0.08055569976568222,0.10053667426109314,0.37350836396217346,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_707.log
808,33,0.715328,0.815765380859375,0.8883333206176758,0.7619863152503967,0.8777120113372803,0.9385829567909241,0.2534744266575038,0.07947338372468948,0.08091390132904053,0.3358153700828552,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_808.log
909,120,0.731517,0.8098039031028748,0.8922222256660461,0.8050682544708252,0.814595639705658,0.9331844449043274,0.3065389842348135,0.07516314089298248,0.10005064308643341,0.3770645558834076,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_909.log
1010,114,0.689655,0.8016276955604553,0.8916666507720947,0.8277310729026794,0.7771202921867371,0.9313631057739258,0.39186190908192703,0.10470172762870789,0.13246263563632965,0.46941351890563965,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_1010.log
1111,157,0.722022,0.8280960917472839,0.8966666460037231,0.7791304588317871,0.8836292028427124,0.9402525424957275,0.35657378554323355,0.14046747982501984,0.12140629440546036,0.4830465018749237,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_1111.log
1212,225,0.72028,0.811957597732544,0.8916666507720947,0.7943395972251892,0.8303747773170471,0.9388712644577026,0.31754315847548265,0.07444780319929123,0.10525821149349213,0.38454264402389526,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_1212.log
1313,144,0.715867,0.8336520195007324,0.903333306312561,0.8089053630828857,0.8599605560302734,0.9464945793151855,0.26878091174390156,0.07863038033246994,0.0877176970243454,0.3534592092037201,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_1313.log
1414,19,0.692015,0.8030887842178345,0.8866666555404663,0.7863894104957581,0.8205128312110901,0.9308352470397949,0.45631791262201354,0.09617612510919571,0.15737585723400116,0.5512229204177856,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_1414.log
1515,36,0.694656,0.8284600377082825,0.902222216129303,0.8188824653625488,0.8382642865180969,0.935583233833313,0.28077376982288327,0.0829920619726181,0.09102310240268707,0.3696945309638977,,results/flip_only/obs_30_8_ratio_edl_mse/logs/seed_1515.log
