metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7079479375,0.01504026141381304,0.00022620946339583345,0.679842,505,0.731517,909,0.7079 ± 0.0150
test_f1,16,0.8188355080783367,0.0118347374211215,0.00014006100982689358,0.8016276955604553,1010,0.8336520195007324,1313,0.8188 ± 0.0118
test_accuracy,16,0.8947222158312798,0.007500337933240456,5.625506911280572e-05,0.8822222352027893,303,0.9055555462837219,202,0.8947 ± 0.0075
test_precision,16,0.7959037385880947,0.02636349270086143,0.0006950337473883739,0.7554805874824524,42,0.8297455906867981,202,0.7959 ± 0.0264
test_recall,16,0.8447978347539902,0.031092214093387343,0.0009667257772290346,0.7771202921867371,1010,0.8974359035491943,606,0.8448 ± 0.0311
test_auroc,16,0.9361618086695671,0.005866547301847736,3.4416377244816945e-05,0.9246793985366821,303,0.9464945793151855,1313,0.9362 ± 0.0059
test_loss,16,0.31956064057398637,0.051007229009014714,0.002601737411178072,0.2534744266575038,808,0.45631791262201354,1414,0.3196 ± 0.0510
test_mean_uncertainty,16,0.4021400064229965,0.059981690891002276,0.0035978032421437453,0.32657134532928467,505,0.5512229204177856,1414,0.4021 ± 0.0600
test_ece,16,0.08944852277636528,0.01903838520286914,0.0003624601111328266,0.060618527233600616,404,0.14046747982501984,1111,0.0894 ± 0.0190
test_brier,16,0.10591104067862034,0.019242952988810857,0.0003702912397295847,0.08091390132904053,808,0.15737585723400116,1414,0.1059 ± 0.0192
test_aurc,16,0.046948305098339915,0.014802221811453504,0.00021910577055546984,0.03316238522529602,1313,0.09244199097156525,1414,0.0469 ± 0.0148
