seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,137,0.727273,0.8552253246307373,0.9161111116409302,0.8320895433425903,0.8796843886375427,0.9470583200454712,0.2894744627348096,0.02585812285542488,0.08256606757640839,nan,,results/flip_only/obs_30_9/logs/seed_42.log
101,147,0.734375,0.8169013857841492,0.898888885974884,0.8336755633354187,0.800788938999176,0.9348486661911011,0.3615010889780909,0.040117256343364716,0.10203421860933304,nan,,results/flip_only/obs_30_9/logs/seed_101.log
202,139,0.717557,0.8262626528739929,0.9044444561004639,0.8467909097671509,0.8067061305046082,0.9469545483589172,0.294289922081114,0.017117995768785477,0.08667781949043274,nan,,results/flip_only/obs_30_9/logs/seed_202.log
303,28,0.699301,0.810009241104126,0.8861111402511597,0.7639859914779663,0.8619329333305359,0.9229487776756287,0.3438102943406321,0.036784231662750244,0.0999274030327797,nan,,results/flip_only/obs_30_9/logs/seed_303.log
404,40,0.72428,0.8276574015617371,0.9072222113609314,0.8679653406143188,0.790926992893219,0.9336420297622681,0.31082478543531283,0.024752913042902946,0.09278383105993271,nan,,results/flip_only/obs_30_9/logs/seed_404.log
505,38,0.696296,0.8413926362991333,0.9088888764381409,0.8254269361495972,0.857988178730011,0.9352941513061523,0.32417687557600827,0.023401940241456032,0.0964156910777092,nan,,results/flip_only/obs_30_9/logs/seed_505.log
606,148,0.752852,0.8275193572044373,0.9011111259460449,0.8133333325386047,0.8422091007232666,0.9418474435806274,0.5177607119437069,0.09169287979602814,0.16160593926906586,nan,,results/flip_only/obs_30_9/logs/seed_606.log
707,8,0.664151,0.7497527003288269,0.8594444394111633,0.7519841194152832,0.7475345134735107,0.910714864730835,0.3873238786906722,0.04113024100661278,0.11884026974439621,nan,,results/flip_only/obs_30_9/logs/seed_707.log
808,35,0.713178,0.837890625,0.9077777862548828,0.8297872543334961,0.8461538553237915,0.9397209286689758,0.2797084172167497,0.025763798505067825,0.08013655990362167,nan,,results/flip_only/obs_30_9/logs/seed_808.log
909,33,0.682731,0.8084677457809448,0.894444465637207,0.8268041014671326,0.790926992893219,0.9283229112625122,0.33826860900315153,0.02685263752937317,0.09978440403938293,nan,,results/flip_only/obs_30_9/logs/seed_909.log
1010,130,0.715867,0.8396946787834167,0.9066666960716248,0.8133087158203125,0.867850124835968,0.9366776943206787,0.36880844467849444,0.026133956387639046,0.10867418348789215,nan,,results/flip_only/obs_30_9/logs/seed_1010.log
1111,24,0.727273,0.8205645084381104,0.9011111259460449,0.839175283908844,0.8027613162994385,0.9247853755950928,0.3451994038680466,0.04330863803625107,0.10165439546108246,nan,,results/flip_only/obs_30_9/logs/seed_1111.log
1212,44,0.710744,0.8525576591491699,0.9183333516120911,0.8673469424247742,0.8382642865180969,0.9433012008666992,0.3017459601529502,0.014068705961108208,0.08827235549688339,nan,,results/flip_only/obs_30_9/logs/seed_1212.log
1313,21,0.709402,0.748155951499939,0.867222249507904,0.8031674027442932,0.7001972198486328,0.9108093976974487,0.33923556533481686,0.024687765166163445,0.10238481312990189,nan,,results/flip_only/obs_30_9/logs/seed_1313.log
1414,25,0.69697,0.804780900478363,0.8911111354827881,0.8128772377967834,0.7968441843986511,0.9242805242538452,0.32012730312043597,0.03522432595491409,0.08964911848306656,nan,,results/flip_only/obs_30_9/logs/seed_1414.log
1515,95,0.732203,0.81640625,0.8955555558204651,0.8085106611251831,0.824457585811615,0.9322707653045654,0.39968363399865126,0.06350687146186829,0.12226390093564987,nan,,results/flip_only/obs_30_9/logs/seed_1515.log
