metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.717631875,0.015630841286273317,0.0002443231993166665,0.693878,1313,0.738462,1515,0.7176 ± 0.0156
test_f1,16,0.8228438198566437,0.01154473622740227,0.0001332809345602944,0.8037775158882141,1414,0.8433497548103333,42,0.8228 ± 0.0115
test_accuracy,16,0.9022222273051739,0.005274367314380424,2.7818950567004562e-05,0.8916666507720947,1010,0.9116666913032532,42,0.9022 ± 0.0053
test_precision,16,0.8405403532087803,0.020900642270427032,0.00043683684731636124,0.7943395972251892,1010,0.8738738894462585,707,0.8405 ± 0.0209
test_recall,16,0.8071992062032223,0.031240181713528735,0.0009759489534942952,0.7554240822792053,1414,0.844181478023529,42,0.8072 ± 0.0312
test_auroc,16,0.9346443004906178,0.0055601440814353085,3.0915202206320086e-05,0.9200519919395447,1313,0.9435330629348755,1111,0.9346 ± 0.0056
test_loss,16,0.30671231367371626,0.03915578696650175,0.0015331756529660683,0.2564682934430018,404,0.3932985733501779,101,0.3067 ± 0.0392
test_mean_uncertainty,16,0.3585384264588356,0.03893927018955308,0.001516266762895017,0.2941008508205414,808,0.42484620213508606,1010,0.3585 ± 0.0389
test_ece,16,0.07695535058155656,0.01367630411870449,0.00018704129434729335,0.05138745531439781,808,0.10622736811637878,1515,0.0770 ± 0.0137
test_brier,16,0.09952152101323009,0.013983574550752666,0.00019554035721645763,0.08188328891992569,808,0.12878471612930298,101,0.0995 ± 0.0140
test_aurc,16,0.04456088109873235,0.007555245547790994,5.708173528741565e-05,0.031947776675224304,404,0.06012165546417236,1010,0.0446 ± 0.0076
