seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,213,0.711779,0.8277739882469177,0.9005503058433533,0.8074369430541992,0.8491619825363159,0.9366412162780762,0.26166744255536817,0.055113427340984344,0.08384739607572556,0.3230580985546112,,results/orig/obs15_8_area_edl_mse/logs/seed_42.log
101,339,0.719577,0.8127159476280212,0.893474817276001,0.804377555847168,0.8212290406227112,0.9351116418838501,0.271424371097861,0.05288073047995567,0.08584846556186676,0.29918891191482544,,results/orig/obs15_8_area_edl_mse/logs/seed_101.log
202,171,0.721228,0.8218812346458435,0.8950471878051758,0.7867177724838257,0.8603351712226868,0.9275041818618774,0.28174537689723733,0.060048315674066544,0.08945202082395554,0.31801465153694153,,results/orig/obs15_8_area_edl_mse/logs/seed_202.log
303,176,0.708861,0.8018679022789001,0.8832547068595886,0.7675606608390808,0.839385449886322,0.9267561435699463,0.28095426045035343,0.05132046714425087,0.08891970664262772,0.31277841329574585,,results/orig/obs15_8_area_edl_mse/logs/seed_303.log
404,33,0.685879,0.7564296722412109,0.87342768907547,0.8250824809074402,0.6983240246772766,0.9147364497184753,0.2946752245020023,0.07068278640508652,0.09485630691051483,0.36712196469306946,,results/orig/obs15_8_area_edl_mse/logs/seed_404.log
505,353,0.710875,0.8217158317565918,0.8954402804374695,0.7899484634399414,0.8561452627182007,0.930180549621582,0.27709378990236305,0.04996360093355179,0.08589032292366028,0.2765776813030243,,results/orig/obs15_8_area_edl_mse/logs/seed_505.log
606,423,0.725389,0.8326359987258911,0.9056603908538818,0.8314763307571411,0.833798885345459,0.93397057056427,0.26061527422847097,0.049376193434000015,0.0807211771607399,0.28459981083869934,,results/orig/obs15_8_area_edl_mse/logs/seed_606.log
707,119,0.705556,0.7953555583953857,0.8891509175300598,0.8277945518493652,0.7653631567955017,0.912273645401001,0.30968994299423425,0.08351567387580872,0.10039199143648148,0.3813185393810272,,results/orig/obs15_8_area_edl_mse/logs/seed_707.log
808,40,0.703911,0.772424042224884,0.8793238997459412,0.8230647444725037,0.7276536226272583,0.9070950746536255,0.3142103672052105,0.09442593157291412,0.10373237729072571,0.42802754044532776,,results/orig/obs15_8_area_edl_mse/logs/seed_808.log
909,9,0.706493,0.811141312122345,0.8907232880592346,0.7896825671195984,0.833798885345459,0.9162236452102661,0.2939833146137422,0.08902160823345184,0.09586431086063385,0.3968890607357025,,results/orig/obs15_8_area_edl_mse/logs/seed_909.log
1010,159,0.716578,0.8130193948745728,0.8938679099082947,0.8063187003135681,0.8198323845863342,0.9243892431259155,0.27335540732620367,0.06356310844421387,0.08710406720638275,0.3282388746738434,,results/orig/obs15_8_area_edl_mse/logs/seed_1010.log
1111,228,0.709677,0.8160112500190735,0.8970125913619995,0.8206214904785156,0.8114525079727173,0.9300369024276733,0.27181592278737926,0.05394390597939491,0.08596043288707733,0.3135626018047333,,results/orig/obs15_8_area_edl_mse/logs/seed_1111.log
1212,25,0.715084,0.7970588207244873,0.8915094137191772,0.8416149020195007,0.75698322057724,0.9159115552902222,0.2821910055429194,0.05856047570705414,0.08871127665042877,0.3273075819015503,,results/orig/obs15_8_area_edl_mse/logs/seed_1212.log
1313,109,0.701754,0.8309963345527649,0.909984290599823,0.8810641765594482,0.7863128781318665,0.9197645783424377,0.2710011887705524,0.08525735139846802,0.08587663620710373,0.35133227705955505,,results/orig/obs15_8_area_edl_mse/logs/seed_1313.log
1414,174,0.718663,0.8151382803916931,0.9001572132110596,0.8510638475418091,0.7821229100227356,0.9310126304626465,0.2594133295906773,0.06407918781042099,0.08220268785953522,0.3251321613788605,,results/orig/obs15_8_area_edl_mse/logs/seed_1414.log
1515,96,0.709859,0.819312334060669,0.9029088020324707,0.8602150678634644,0.7821229100227356,0.9275825023651123,0.2753782902148186,0.06658925116062164,0.08779048174619675,0.33533403277397156,,results/orig/obs15_8_area_edl_mse/logs/seed_1515.log
