metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7106976875,0.009364044416232054,8.768532782916671e-05,0.685879,404,0.725389,606,0.7107 ± 0.0094
test_f1,16,0.8090923689305782,0.020706267419018116,0.00042874951042789117,0.7564296722412109,404,0.8326359987258911,606,0.8091 ± 0.0207
test_accuracy,16,0.8938433565199375,0.00951601059376088,9.055445762056931e-05,0.87342768907547,404,0.909984290599823,1313,0.8938 ± 0.0095
test_precision,16,0.8196275159716606,0.029746714599297758,0.0008848670294520744,0.7675606608390808,303,0.8810641765594482,1313,0.8196 ± 0.0297
test_recall,16,0.8015013933181763,0.047211036893709604,0.0022288820045792096,0.6983240246772766,404,0.8603351712226868,202,0.8015 ± 0.0472
test_auroc,16,0.9243244081735611,0.008909208225922354,7.937399121284253e-05,0.9070950746536255,808,0.9366412162780762,42,0.9243 ± 0.0089
test_loss,16,0.2799509067924621,0.016129834461956857,0.00026017155977013103,0.2594133295906773,1414,0.3142103672052105,808,0.2800 ± 0.0161
test_mean_uncertainty,16,0.33553013764321804,0.04061730152129871,0.0016497651828720945,0.2765776813030243,505,0.42802754044532776,808,0.3355 ± 0.0406
test_ece,16,0.06552137597464025,0.014876531200463516,0.00022131118055836445,0.049376193434000015,606,0.09442593157291412,808,0.0655 ± 0.0149
test_brier,16,0.08919810364022851,0.006391909089286145,4.085650180569884e-05,0.0807211771607399,606,0.10373237729072571,808,0.0892 ± 0.0064
test_aurc,16,0.04412349360063672,0.006805236728135029,4.6311246925957957e-05,0.03357429802417755,42,0.0564926378428936,808,0.0441 ± 0.0068
