seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,23,0.706553,0.8072463870048523,0.8954402804374695,0.8388554453849792,0.7779329419136047,0.9052273035049438,0.2957297671511909,0.08845820277929306,0.09551185369491577,0.39063429832458496,,results/orig/obs15_8_ratio_edl_mse/logs/seed_42.log
101,262,0.706767,0.8109552264213562,0.8887578845024109,0.777208685874939,0.8477653861045837,0.9215680360794067,0.2962307186847369,0.055207837373018265,0.09445567429065704,0.3425132930278778,,results/orig/obs15_8_ratio_edl_mse/logs/seed_101.log
202,28,0.706849,0.7941585779190063,0.8836477994918823,0.7908587455749512,0.7974860072135925,0.9230101704597473,0.29181669906161883,0.07185854762792587,0.0948256403207779,0.3656725287437439,,results/orig/obs15_8_ratio_edl_mse/logs/seed_202.log
303,16,0.692958,0.7662835121154785,0.8801100850105286,0.8488964438438416,0.6983240246772766,0.9097568988800049,0.31502711070946804,0.1141483411192894,0.10489054769277573,0.4558810889720917,,results/orig/obs15_8_ratio_edl_mse/logs/seed_303.log
404,13,0.7,0.7913950681686401,0.8742138147354126,0.7420538067817688,0.8477653861045837,0.9089161157608032,0.3028821258580755,0.07850972563028336,0.09845621883869171,0.40340912342071533,,results/orig/obs15_8_ratio_edl_mse/logs/seed_404.log
505,126,0.704918,0.8011283278465271,0.8891509175300598,0.809116780757904,0.7932960987091064,0.9199471473693848,0.290819345807068,0.07219956070184708,0.09420346468687057,0.36484602093696594,,results/orig/obs15_8_ratio_edl_mse/logs/seed_505.log
606,363,0.712766,0.829959511756897,0.900943398475647,0.8028720617294312,0.8589385747909546,0.9373082518577576,0.25628534730465463,0.06618835777044296,0.0814027413725853,0.31932923197746277,,results/orig/obs15_8_ratio_edl_mse/logs/seed_606.log
707,16,0.682464,0.7640587091445923,0.8482704162597656,0.679347813129425,0.8729050159454346,0.9065980315208435,0.3123487333672742,0.0900617241859436,0.10237884521484375,0.418440580368042,,results/orig/obs15_8_ratio_edl_mse/logs/seed_707.log
808,112,0.710744,0.8192771077156067,0.8997641801834106,0.8316546678543091,0.8072625994682312,0.9174236059188843,0.2887273223140319,0.08868542313575745,0.0932881310582161,0.3782067894935608,,results/orig/obs15_8_ratio_edl_mse/logs/seed_808.log
909,35,0.72619,0.8027006983757019,0.8966194987297058,0.867098867893219,0.7472066879272461,0.9124485850334167,0.29648894216224325,0.09972850978374481,0.09591329842805862,0.3983449637889862,,results/orig/obs15_8_ratio_edl_mse/logs/seed_909.log
1010,26,0.705882,0.8147100210189819,0.8970125913619995,0.8252149224281311,0.8044692873954773,0.914756715297699,0.2939433635416485,0.07781761139631271,0.0942128375172615,0.36056673526763916,,results/orig/obs15_8_ratio_edl_mse/logs/seed_1010.log
1111,8,0.691489,0.8068259358406067,0.8887578845024109,0.7890520691871643,0.825419008731842,0.9132282733917236,0.2849826780027575,0.06843576580286026,0.09047427028417587,0.3522253632545471,,results/orig/obs15_8_ratio_edl_mse/logs/seed_1111.log
1212,26,0.700767,0.8018555045127869,0.882468581199646,0.7629256248474121,0.8449720740318298,0.9161964654922485,0.2961371882515559,0.07515523582696915,0.09560350328683853,0.3772851526737213,,results/orig/obs15_8_ratio_edl_mse/logs/seed_1212.log
1313,25,0.697201,0.8023793697357178,0.882468581199646,0.7616060376167297,0.8477653861045837,0.9183793663978577,0.2914246841779416,0.07927331328392029,0.0942634865641594,0.3826126456260681,,results/orig/obs15_8_ratio_edl_mse/logs/seed_1313.log
1414,24,0.694087,0.8073022365570068,0.8879716992378235,0.7824377417564392,0.833798885345459,0.9032683372497559,0.299747814938792,0.07849733531475067,0.09619305282831192,0.38421571254730225,,results/orig/obs15_8_ratio_edl_mse/logs/seed_1414.log
1515,12,0.707447,0.80599045753479,0.8879716992378235,0.7861886024475098,0.826815664768219,0.900762677192688,0.31147666387247397,0.10347257554531097,0.1018870398402214,0.43266376852989197,,results/orig/obs15_8_ratio_edl_mse/logs/seed_1515.log
