seed,best_epoch,best_val_f1,test_f1,test_accuracy,test_precision,test_recall,test_auroc,test_loss,test_ece,test_brier,test_mean_uncertainty,test_aurcbest_checkpoint,log_file
42,153,0.724324,0.8190076947212219,0.8981918096542358,0.8195804357528687,0.8184357285499573,0.9262442588806152,0.3076841003609251,0.027267709374427795,0.08295565098524094,nan,,results/orig/obs15_9_det/logs/seed_42.log
101,102,0.716253,0.812095046043396,0.8974056839942932,0.8380386233329773,0.7877094745635986,0.9252067804336548,0.3009150022547358,0.037795450538396835,0.08454373478889465,nan,,results/orig/obs15_9_det/logs/seed_101.log
202,143,0.71916,0.8277739882469177,0.9005503058433533,0.8074369430541992,0.8491619825363159,0.9295364618301392,0.29713288408334204,0.036179669201374054,0.07941247522830963,nan,,results/orig/obs15_9_det/logs/seed_202.log
303,131,0.708995,0.8256512880325317,0.8974056839942932,0.791293203830719,0.8631284832954407,0.9335430860519409,0.2752610383425887,0.031228672713041306,0.07710576802492142,nan,,results/orig/obs15_9_det/logs/seed_303.log
404,132,0.713483,0.8446043133735657,0.9150943160057068,0.8709198832511902,0.8198323845863342,0.9260089993476868,0.3136019053825858,0.04706477373838425,0.0767919048666954,nan,,results/orig/obs15_9_det/logs/seed_404.log
505,21,0.710027,0.8039353489875793,0.8903301954269409,0.8090523481369019,0.7988826632499695,0.9122052192687988,0.32395304556311505,0.06011319160461426,0.09208419173955917,nan,,results/orig/obs15_9_det/logs/seed_505.log
606,94,0.716578,0.8061224222183228,0.8954402804374695,0.8429877758026123,0.7723463773727417,0.9216753840446472,0.3095147712184863,0.039634205400943756,0.08662144839763641,nan,,results/orig/obs15_9_det/logs/seed_606.log
707,124,0.717808,0.831932783126831,0.9056603908538818,0.834269642829895,0.8296089172363281,0.9321808218955994,0.2776711182972104,0.04096851497888565,0.07713605463504791,nan,,results/orig/obs15_9_det/logs/seed_707.log
808,91,0.722359,0.8169934749603271,0.8899371027946472,0.7678132653236389,0.8729050159454346,0.9292515516281128,0.3030577409590388,0.0439973846077919,0.07844287902116776,nan,,results/orig/obs15_9_det/logs/seed_808.log
909,103,0.71916,0.8258426785469055,0.902515709400177,0.8305084705352783,0.8212290406227112,0.9336042404174805,0.29023534250831395,0.03764912113547325,0.08022967725992203,nan,,results/orig/obs15_9_det/logs/seed_909.log
1010,91,0.718499,0.8310249447822571,0.9040880799293518,0.8241758346557617,0.8379888534545898,0.9311280250549316,0.28671214519483673,0.0419003888964653,0.0796327143907547,nan,,results/orig/obs15_9_det/logs/seed_1010.log
1111,119,0.70437,0.8296593427658081,0.8997641801834106,0.795134425163269,0.8673184514045715,0.9281879663467407,0.29162647312869916,0.03998405486345291,0.07709459960460663,nan,,results/orig/obs15_9_det/logs/seed_1111.log
1212,105,0.728643,0.8060886859893799,0.8848270177841187,0.7660377621650696,0.8505586385726929,0.9235052466392517,0.3108020762322067,0.02797553315758705,0.0849040076136589,nan,,results/orig/obs15_9_det/logs/seed_1212.log
1313,104,0.725849,0.8281689882278442,0.9040880799293518,0.8352272510528564,0.8212290406227112,0.9318705797195435,0.3015806561436198,0.04764550179243088,0.08329248428344727,nan,,results/orig/obs15_9_det/logs/seed_1313.log
1414,78,0.717277,0.8236914873123169,0.8993710875511169,0.8125,0.8351955413818359,0.9303188920021057,0.29327706362198497,0.03204415366053581,0.07967378944158554,nan,,results/orig/obs15_9_det/logs/seed_1414.log
1515,113,0.720812,0.8158602118492126,0.8922955989837646,0.7862694263458252,0.8477653861045837,0.9189202785491943,0.32907487431224025,0.026109011843800545,0.0896507203578949,nan,,results/orig/obs15_9_det/logs/seed_1515.log
