metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.7056293124999999,0.009786254685143863,9.57707807625002e-05,0.687831,42,0.716883,404,0.7056 ± 0.0098
test_f1,16,0.798514798283577,0.017550288603568637,0.00030801263006855113,0.7687641978263855,1212,0.8285322189331055,404,0.7985 ± 0.0176
test_accuracy,16,0.8893229216337204,0.007385992696747949,5.455288811641405e-05,0.8801100850105286,1212,0.9036949872970581,909,0.8893 ± 0.0074
test_precision,16,0.8205318823456764,0.03724174749505256,0.0013869477564852535,0.7709923386573792,1313,0.8890784978866577,1010,0.8205 ± 0.0372
test_recall,16,0.7818610332906246,0.05332738248571479,0.00284380972277772,0.6941340565681458,101,0.8589385747909546,505,0.7819 ± 0.0533
test_auroc,16,0.9150132425129414,0.009457796234358941,8.944990961065416e-05,0.8994569778442383,42,0.9350405931472778,404,0.9150 ± 0.0095
test_loss,16,0.28932688956660985,0.017832801319113568,0.0003180088028869786,0.24602095732285667,404,0.31652912597044447,101,0.2893 ± 0.0178
test_mean_uncertainty,16,0.33900749310851097,0.03361016068534197,0.0011296429012945068,0.27721813321113586,404,0.3822125792503357,202,0.3390 ± 0.0336
test_ece,16,0.06132784951478243,0.011897411380411936,0.00014154839755475547,0.04083479568362236,1111,0.07994566857814789,202,0.0613 ± 0.0119
test_brier,16,0.09145667264238,0.0068594991793916715,4.7052728992075014e-05,0.07558587193489075,404,0.1004677265882492,101,0.0915 ± 0.0069
test_aurc,16,0.05086093256250024,0.007157067852296497,5.122362024237599e-05,0.039622578769922256,404,0.06323260068893433,202,0.0509 ± 0.0072
