metric,runs,mean,standard_deviation,variance,minimum,minimum_seed,maximum,maximum_seed,mean_plus_minus_std
best_val_f1,16,0.6900125625,0.016526191882256677,0.0002731150181291665,0.664093,101,0.715385,505,0.6900 ± 0.0165
test_f1,16,0.8010797835886478,0.017357080826220613,0.0003012682548079552,0.7686635851860046,1212,0.8298279047012329,606,0.8011 ± 0.0174
test_accuracy,16,0.8829513899981976,0.014734580044348864,0.00021710784908332374,0.8605555295944214,1212,0.902222216129303,202,0.8830 ± 0.0147
test_precision,16,0.7747682482004166,0.0534987593291847,0.002862117249762027,0.7178217768669128,1515,0.8685969114303589,202,0.7748 ± 0.0535
test_recall,16,0.834319531917572,0.04076053386694855,0.0016614211211186595,0.7593688368797302,42,0.8757396340370178,1414,0.8343 ± 0.0408
test_auroc,16,0.926170464605093,0.009018589687570347,8.13349599527502e-05,0.91062331199646,42,0.9401922821998596,202,0.9262 ± 0.0090
test_loss,16,0.2807731050041353,0.017137683186138522,0.000293700184988455,0.2564882242834625,202,0.3219269945296052,1212,0.2808 ± 0.0171
test_mean_uncertainty,16,0.34895914420485497,0.03195264444345153,0.0010209714869296338,0.2962212562561035,606,0.4094451367855072,1212,0.3490 ± 0.0320
test_ece,16,0.0691269631497562,0.014228416908221436,0.00020244784771416164,0.039840325713157654,404,0.08972545713186264,1313,0.0691 ± 0.0142
test_brier,16,0.09001461928710341,0.006499103785657295,4.223835001674498e-05,0.08160561323165894,1414,0.10672054439783096,1212,0.0900 ± 0.0065
test_aurc,16,0.0425768312998116,0.007070911443112356,4.999778863633726e-05,0.0321216955780983,909,0.05880843847990036,42,0.0426 ± 0.0071
